Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometereviation_x,Accelerometereviation_y,Accelerometereviation_z,Accelerometereviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometerc_x,Accelerometerc_y,Accelerometerc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscopeeviation_x,Gyroscopeeviation_y,Gyroscopeeviation_z,Gyroscopeeviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscopec_x,Gyroscopec_y,Gyroscopec_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,class
-0.410222222,-0.922305556,0.167341667,-0.38839537,0.177396419,0.237435842,0.213388905,0.209407055,-0.278551516,-0.119844279,-0.127851664,-0.17541582,0.659689333,0.057097437,-0.673263146,0.014507875,0.173091092,-0.175447307,0.864612413,-0.348467883,0.925386211,0.475277283,0.005555556,0,0.119444444,0.041666667,66.095762,316.0087765,18.0942855,71.910634,326.528394,26.473701,-89.86040894,-3511.938502,-28.57505507,6.024611111,9.955519444,-4.732775,3.749118519,45.96549683,75.33529369,26.57982454,49.29353835,-0.101130793,-0.070277833,0.228744915,0.019112096,-0.299160778,-0.353140344,0.314978078,-0.112441014,0.65257619,-0.693873434,1.555670057,-0.77626784,1.718241829,-1.294181356,0.102777778,0.05,0.102777778,0.085185185,521060.5279,1643133.27,173906.5701,773684.2217,2078826.783,262399.0435,360.1675882,360.0623537,360.4945828,cement
-0.907772222,-0.497316667,0.145247222,-0.419947222,0.168083406,0.185918784,0.131253709,0.161751966,-0.555422181,-0.037457131,1.229105305,0.212075331,0.989781552,-0.618910549,2.425328693,0.932066565,-0.117631987,-0.182752336,0.755641437,-0.155346235,0.901114419,0.442988684,0,0,0.061111111,0.02037037,300.546233,95.0509185,10.3451445,306.828878,101.480278,13.796745,-2077.413301,-141.3157178,-14.34656702,33.40835,20.56639167,-8.995894444,14.99294907,54.03155721,30.53589269,18.17232505,34.24659165,-0.598150018,-1.314161394,0.177827116,-0.578161432,0.488439277,2.554164392,-0.454162141,0.862813843,0.919127047,-0.418884798,2.174984656,-0.421297779,2.118219496,-0.505900758,0.030555556,0.027777778,0.052777778,0.037037037,774217.6804,286401.6222,94573.69876,1452789.729,487950.195,148017.4253,360.0892298,360.265797,360.8777073,cement
-0.418530556,-0.931205556,0.153102778,-0.398877778,0.196025591,0.251371498,0.186217146,0.211204745,-0.675341066,-0.089045981,-0.14802725,-0.304138099,1.280056945,-0.211025481,-0.548318449,0.173571005,0.288729755,-0.171740086,1.12034923,-0.434981072,1.07463961,0.2045875,0.011111111,0,0.127777778,0.046296296,71.724128,326.130756,14.178086,76.893789,334.91931,20.922223,-97.7787239,-4807.321952,-22.21319352,5.567275,6.529455556,-2.666741667,3.14332963,38.87559947,77.30565807,24.96301718,47.04809157,-0.016599444,0.179952165,0.176514813,0.113289178,-0.251840504,-0.611774966,-0.268622131,-0.377412534,0.76024471,-0.647829586,1.731739445,-0.755526414,1.870435232,-1.246133711,0.141666667,0.077777778,0.069444444,0.096296296,188136.1141,640800.4893,91776.16949,555230.4427,2166767.482,226894.9455,360.233568,360.0598225,360.5720972,cement
-0.405358333,-0.946136111,0.182933333,-0.38952037,0.17928121,0.234624442,0.194361707,0.202755786,-0.39162259,-0.039461585,0.096246763,-0.111612471,0.515488457,-0.313358573,-0.532420858,-0.110096991,0.079313102,-0.065199787,0.913501229,-0.477828278,0.769261749,0.34801679,0.011111111,0,0.122222222,0.044444444,63.974977,332.7552745,19.158879,70.724567,342.079981,25.646788,-88.0159226,-6872.135189,-27.61404212,5.314308333,10.97030833,-5.614311111,3.556768519,38.34533496,71.8889963,26.52450342,45.58627823,-0.250767791,-0.161023097,0.021579399,-0.130070497,-0.309430377,-0.390497716,-0.292479989,-0.330802694,0.700433462,-0.69874507,1.539167711,-0.807308304,1.696429346,-1.279018517,0.113888889,0.075,0.058333333,0.082407407,245493.6859,899438.9078,155564.9552,539498.3711,1903815.163,264625.1176,360.2403836,360.0680867,360.4904166,cement
-0.410911111,-0.968311111,0.198511111,-0.39357037,0.145016562,0.241601929,0.175348779,0.187322423,0.274441811,-0.139642945,-0.095864744,0.012978041,-0.280735989,-0.082039668,-0.589256641,-0.317344099,0.241244366,-0.329420518,0.776939449,-0.525542823,0.984575482,0.00323073,0.011111111,0,0.111111111,0.040740741,32.413176,174.6075525,9.7064285,34.177994,179.279622,12.627694,-42.18868667,-44796.3874,-13.58041228,-13.13153333,-29.56717222,8.343655556,-11.45168333,34.73869355,59.50167878,24.36329408,39.53455547,0.075730046,0.398654596,0.13384184,0.202742161,-0.617570753,0.203882363,0.349226671,-0.021487239,0.69693655,-0.601524782,1.556928171,-0.773308782,1.640893491,-1.076174026,0.094444444,0.038888889,0.1,0.077777778,108859.1566,352994.6577,43037.65424,248258.5195,794640.1412,119373.6035,180.1306038,180.0407824,180.2718267,cement
-0.863452778,-0.571536111,0.115766667,-0.439740741,0.177047508,0.196145039,0.161717229,0.178303259,-0.145045263,0.12058721,0.338632835,0.104724927,-0.606737655,-0.690065341,1.240201847,-0.018867049,-0.375555259,-0.207499039,0.391625131,-0.116721721,0.621289842,0.572539479,0,0,0.063888889,0.021296296,275.199165,125.9055985,9.8324555,279.682747,131.445505,14.239578,-1253.601003,-207.042009,-14.82601175,25.81885833,14.51366389,-5.722111111,11.5368037,77.34727548,42.54057325,26.25053676,48.71279516,0.384279193,-0.168133344,0.113348655,0.109831501,-0.225023913,0.250905037,-0.696603782,-0.22357422,0.963875083,-0.795754344,2.000749394,-0.814006251,1.965101438,-1.435499359,0.041666667,0.047222222,0.027777778,0.038888889,1079487.608,327357.3194,138694.6663,2393717.209,727324.8523,259859.9649,360.0541499,360.1782755,360.499422,cement
-0.889352778,-0.519777778,0.138597222,-0.423511111,0.184817163,0.218201386,0.156445132,0.186487894,-0.6555626,0.33271946,0.203963026,-0.039626705,0.935842641,1.214091013,0.871078228,1.007003961,-0.170509254,-0.291144027,0.547294196,-0.234182539,0.804618618,0.27635984,0,0.002777778,0.041666667,0.014814815,290.58803,105.9024655,12.0939295,297.038069,114.401082,15.726337,-1698.386678,-167.6896212,-16.44471224,37.9621,23.93664444,-11.03500278,16.95458056,57.30594777,30.70518628,19.57997646,35.8637035,0.645295062,0.435065253,0.445663886,0.508674734,-0.382942229,-0.097348431,-0.724766435,-0.401685698,0.935884887,-0.559183463,2.09386263,-0.538388473,2.057660418,-0.808502117,0.022222222,0.044444444,0.033333333,0.033333333,1552205.633,493756.7456,163489.809,1701033.367,545677.7082,181852.8353,360.0762051,360.2376596,360.7140778,cement
-0.754513889,0.618877778,-0.342283333,-0.159306481,0.187740897,0.167831832,0.198822318,0.184798349,-0.289723189,0.473998473,-0.38282646,-0.066183726,0.786677395,-0.111243222,-0.227984048,0.149150042,-0.323219768,0.255669578,0.997450192,0.172185284,0.765074695,1.492005351,0,0,0.002777778,0.000925926,211.2017035,142.771257,46.7763175,217.633627,148.023802,56.40775,-550.3273285,-251.3893976,-66.88836754,-2.138697222,2.768041667,0.047394444,0.22557963,70.40687108,52.28106079,30.90256722,51.19683303,-0.090771476,0.528553918,0.405643314,0.281141919,-0.241705347,0.024453654,-0.535864282,-0.251038658,-0.810392237,0.783917248,1.020839721,-0.682128723,-0.505024395,0.985086609,0.05,0.080555556,0.05,0.060185185,1094910.368,560627.365,191186.505,1786212.548,986749.694,343789.5266,360.0725704,360.1313882,360.37737,cement
-0.772022222,0.611808333,-0.317466667,-0.159226852,0.172528273,0.166310568,0.197619595,0.178819479,-0.330278272,0.251433811,-0.723850488,-0.267564983,0.780463687,0.032079372,0.366727936,0.393090332,-0.256193358,0.347413219,1.11048456,0.207435567,0.912111499,1.633250063,0,0,0.016666667,0.005555556,219.7076895,141.5661755,43.4924995,225.282354,144.708711,50.341892,-602.0120589,-241.9751222,-58.52609911,1.670405556,-0.318927778,1.3985,0.916659259,70.02713626,49.0175722,31.30143253,50.11538033,-0.03688769,0.354933421,1.077116045,0.465053925,0.041975599,-0.039883065,2.083078732,0.695057089,-0.868587394,0.807934865,1.052383705,-0.78157673,-0.72376158,0.989073679,0.072222222,0.072222222,0.061111111,0.068518519,848785.081,463389.2675,172961.2336,1766372.424,865016.6758,353424.773,360.0733857,360.1498861,360.3670715,cement
-0.771219444,0.593733333,-0.332630556,-0.170038889,0.176571292,0.161209426,0.20979519,0.182525303,-0.313935714,0.571261861,-0.663604516,-0.135426123,0.252108501,0.040871249,-0.143034271,0.049981826,-0.335185247,0.187189793,0.886495117,0.171452303,0.756033272,1.481916519,0,0,0.011111111,0.003703704,220.42674,130.783988,47.105198,225.344467,136.26279,55.676559,-602.4558094,-219.2509882,-65.86269258,-4.048258333,-0.537969444,1.676347222,-0.969960185,74.06641638,47.06046797,29.41796353,50.18161596,-0.069893466,0.125508052,0.881257098,0.312290561,-0.29607378,-0.299994471,1.083467325,0.162466358,-0.879377932,0.828721345,1.137105145,-0.815345851,-0.838110089,1.044761621,0.069444444,0.061111111,0.075,0.068518519,973086.1292,440900.0338,148871.8724,1980800.075,797391.7404,312561.6186,360.06544,360.1626033,360.4151164,cement
