Accelerometervg_x,Accelerometervg_y,Accelerometervg_z,Accelerometervg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscopevg_x,Gyroscopevg_y,Gyroscopevg_z,Gyroscopevg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,class
-0.966216667,0.314005556,-0.244438889,-0.298883333,0.121324303,0.102392355,0.108077475,0.110598044,-0.303717528,0.596078303,-0.312517136,-0.006718787,0.177406633,1.367293181,-0.018015857,0.508894652,0.037454661,-0.267543167,0.870214152,-0.040162731,0.927645963,0.646536122,0,0,0.005555556,0.001851852,337.9275715,37.336581,24.47382,341.385924,39.270126,25.7152,-6602.472916,-44.07835536,-27.69336805,-58.83959444,16.18094444,-13.39585278,-18.68483426,72.29373612,21.79854265,22.39364274,38.8286405,0.088477446,0.011127101,-0.336862687,-0.079086046,-0.37373399,-0.118266208,0.240631951,-0.083789416,-0.889838016,0.736474564,1.787054905,-0.753142813,-1.529715757,1.525130008,0.044444444,0.055555556,0.088888889,0.062962963,2222904.95,223490.446,195315.7845,3127853.576,265319.7929,245132.6784,360.0414389,360.4891308,360.5294709,cement
-0.977791667,0.274005556,0.185758333,-0.172675926,0.107445017,0.156269034,0.109847343,0.124520465,-1.17244774,0.528399939,0.687086415,0.014346205,1.541371582,1.134554822,0.550846807,1.075591071,0.114914958,-0.257908934,0.779567079,0.432467966,1.735630616,1.202353888,0,0.011111111,0.038888889,0.016666667,346.126706,32.670299,15.7089955,348.343551,35.81966,16.766135,-10758.30884,-39.77748188,-17.5851197,-45.78052222,15.35569722,11.70060833,-6.241405556,44.26909811,11.86693711,12.03901796,22.72501773,-0.501763684,0.335042589,0.189250978,0.007509961,-0.994277182,-0.389517911,-0.460898703,-0.614897932,-0.749355943,-0.69859351,1.186628709,0.435045809,-0.707099574,-0.603934641,0.030555556,0.036111111,0.044444444,0.037037037,1091638.344,108410.5365,73179.83211,1460019.334,135583.7881,101463.188,360.0887878,360.9584113,361.2818587,cement
-0.966158333,0.311794444,-0.254263889,-0.302875926,0.119797978,0.104048557,0.118573933,0.114140156,-0.33156838,0.583213016,-0.579848037,-0.109401134,0.326391587,0.710645205,-0.117115399,0.306640464,-0.079536313,-0.251141912,0.716167367,-0.086660181,0.738080549,0.696256041,0,0,0,0,337.940357,36.645849,27.3833655,341.212853,38.895076,28.335565,-6538.333206,-43.60639253,-30.7563981,-52.08458611,14.48364167,-12.54647778,-16.71580741,60.60665324,22.84112716,21.1518217,34.86653403,0.142864252,-0.118657057,-0.23279372,-0.069528842,-0.176193054,-0.703183895,0.06591384,-0.27115437,-0.857026853,0.736684788,1.623718009,-0.712975476,-1.267150105,1.420119868,0.044444444,0.055555556,0.091666667,0.063888889,1934624.891,196841.2056,170941.8665,2298949.39,263337.4676,217732.9196,360.0563824,360.4928179,360.5962104,cement
-0.958069444,0.314322222,-0.2783,-0.307349074,0.116620506,0.088488553,0.118901495,0.108003518,-0.394586297,0.436683143,-0.192753571,-0.050218908,0.589234031,-0.020427547,-0.350850117,0.072652122,-0.131015494,-0.12746653,0.832113391,0.080854571,0.766856399,1.02951265,0,0,0,0,334.106018,37.086019,29.0442695,335.339065,38.386326,32.971844,-4895.275195,-42.96794097,-36.29615256,-47.01200556,12.24051944,-13.21275833,-15.99474815,70.00908638,23.91772959,22.87930642,38.93537413,0.043602257,0.048458805,0.122905468,0.07165551,-0.175766212,-0.574349377,0.205621869,-0.181497907,-0.874614722,0.842138118,1.755673999,-0.797027926,-1.426689621,1.612249263,0.036111111,0.063888889,0.075,0.058333333,1758460.962,128578.6083,131663.584,2560104.303,259879.7179,251294.2723,360.0506301,360.499384,360.5164699,cement
-0.979138889,0.289583333,-0.278583333,-0.322712963,0.11774057,0.110534403,0.095814165,0.108029712,-0.642729195,0.854890206,-0.615429585,-0.134422858,0.098871105,0.503137373,2.248644307,0.950217595,0.272685295,-0.441835601,0.977023494,-0.855341262,0.561759489,-0.469800808,0,0,0,0,34.8404925,3.184479,2.950665,35.012729,3.458749,3.124405,-1276.709479,-3.826372993,-3.421339751,-91.08822222,28.33127778,-18.79719444,-27.18471296,56.7921879,15.43234681,20.45025489,30.89159653,1.060260303,-0.400871001,-0.441669822,0.07257316,0.781992187,-0.098342856,-0.454132768,0.076505521,-0.951423415,0.681218345,1.81410438,-0.664234135,-1.689288797,1.5825483,0.027777778,0.027777778,0.083333333,0.046296296,381951.0301,34296.63893,18844.32908,414807.006,37469.47062,27775.70799,36.00312462,36.03462142,36.04672003,cement
-0.979327778,0.270636111,0.173652778,-0.178346296,0.096848239,0.142701333,0.108168819,0.11590613,-1.045677353,0.227974188,0.252553579,-0.188383195,1.195067685,-0.197389932,-0.215276656,0.260800366,0.201003193,-0.234617852,0.86408999,0.286132985,1.666165583,1.089485525,0,0.011111111,0.025,0.012037037,347.097777,27.5434,12.2713965,348.646492,33.698727,15.068081,-11054.97412,-37.17895921,-15.72631833,-44.60746389,15.26955278,10.39972778,-6.312727778,42.85324099,11.90319505,10.4072229,21.72121964,-0.486518764,0.406873806,0.113281138,0.01121206,-1.010380797,-0.695916304,-0.180580442,-0.628959181,-0.742137946,-0.527258737,1.313560175,0.325680733,-0.76010415,-0.382615786,0.033333333,0.027777778,0.027777778,0.02962963,1344640.712,126399.2026,65448.35622,1377441.395,134944.306,77927.26549,360.0941121,360.9629652,361.6708079,cement
-0.970416667,0.293480556,0.180552778,-0.165461111,0.088843394,0.137173955,0.10212831,0.109381886,-1.116713392,0.239446819,0.971617797,0.031450408,1.09380527,-0.392418634,0.722420746,0.474602461,0.139580449,-0.145137234,0.851764207,0.393052812,1.734442347,1.308721572,0,0,0.005555556,0.001851852,340.4295945,34.44769,12.67021,341.856596,37.781111,15.490619,-6783.091781,-42.21105722,-16.18714365,-50.75131111,16.82409722,11.25274167,-7.558157407,35.81352147,11.25098194,9.337538644,18.80068068,-0.258887102,0.266502914,0.255273866,0.087629893,-0.97508686,-0.236660132,-0.988146155,-0.733297716,-0.687693403,-0.607626868,1.191582179,0.473057977,-0.476607392,-0.377717839,0.011111111,0.027777778,0.036111111,0.025,1024400.7,107826.5011,50935.19896,1388989.404,147468.5431,76972.97626,360.0933294,360.8809821,361.6916194,cement
-0.6623,0.617458333,0.120930556,0.025362963,0.314127803,0.342333834,0.137315566,0.264592401,-0.062086473,-0.093148591,-0.439330814,-0.198188626,-1.522368996,-1.36237916,0.356973386,-0.84259159,0.882553821,-0.204211789,2.223096267,-0.101513877,2.288913397,0.145186824,0,0.005555556,0.055555556,0.02037037,164.5770515,144.9721705,9.8270345,193.434324,179.441009,12.052715,-418.0714677,-357.7709583,-12.47021485,-34.13748333,26.43515833,8.259683333,0.185786111,31.11860466,37.16508693,14.93404411,27.73924523,-0.633367743,1.090808653,-0.082618709,0.124940733,0.079522959,1.113134094,1.305606346,0.832754466,-0.023395862,-0.436128433,0.855680606,0.041071443,1.335667311,0.104139804,0.061111111,0.022222222,0.097222222,0.060185185,584040.7288,485657.7279,63603.00701,768144.7168,748822.0616,104849.2952,360.1687973,360.1731551,361.2403184,cement
-0.405475,0.908777778,0.119638889,0.207647222,0.151491875,0.140080316,0.139820371,0.143797521,-0.278066935,0.453515448,-0.239694317,-0.021415268,0.324726802,0.05592065,-0.628956126,-0.082769558,0.119513259,0.227816717,1.391447829,0.338253534,1.42895606,1.541858397,0.005555556,0,0.069444444,0.025,63.944088,301.432162,8.6656995,67.449515,304.379836,12.190752,-83.00046195,-1970.090217,-12.61803918,-22.30310278,37.718225,7.326183333,7.580435185,22.41722652,41.39865715,18.05620777,27.29069715,-0.775436795,0.301479316,0.687236861,0.071093127,0.460103225,-0.265221737,1.043251439,0.412710976,-0.226008161,-0.240185247,0.319667812,0.130180931,1.417433741,0.661809272,0.094444444,0.052777778,0.138888889,0.09537037,285725.5218,961505.5222,73361.75786,359985.7578,1129144.792,136691.8565,360.3603746,360.1148137,360.9506215,cement
-0.389502778,0.898983333,0.129355556,0.21294537,0.150359994,0.136358941,0.133758805,0.140159247,-0.49401004,0.585120426,-0.336098576,-0.08166273,1.16052137,0.284434482,-0.713422124,0.243844576,0.038634314,0.185531461,1.287425545,0.422074853,1.417132504,1.56399952,0.005555556,0,0.083333333,0.02962963,58.180791,293.580934,10.3352355,62.755395,297.635326,12.46474,-76.00454918,-1718.099534,-12.91180181,-22.98837778,46.46411389,11.04845,11.50806204,18.41481677,39.76385117,16.39673614,24.85846803,-0.204369275,0.3278976,-0.118542386,0.00166198,-0.033332846,-0.284593487,0.407353408,0.029809025,-0.33284109,-0.301287243,0.009640408,0.194820527,1.481550038,0.748050973,0.077777778,0.030555556,0.116666667,0.075,254953.5766,1086013.481,88173.2645,312325.5563,1346427.986,140731.6333,360.4154305,360.0962804,360.9232635,cement
